Species	Lifestyle	Genus	Order	Dataset	value
Cryptococcus_amylolentus_CBS_6039	Environmental	Cryptococcus	Tremellales	lipids	0.710717515
Cryptococcus_deneoformans_JEC21	Clinical	Cryptococcus	Tremellales	lipids	0.818736673
Cryptococcus_floricola_DSM_27421	Environmental	Cryptococcus	Tremellales	lipids	0.707171694
Cryptococcus_gattii_WM276	Clinical	Cryptococcus	Tremellales	lipids	0.880950234
Cutaneotrichosporon_arboriformis_JCM_14201	Clinical	Cutaneotrichosporon	Trichosporonales	lipids	0.660197105
Cutaneotrichosporon_curvatus_JCM_1532	Clinical	Cutaneotrichosporon	Trichosporonales	lipids	0.747722412
Cutaneotrichosporon_cutaneum_JCM_1462	Clinical	Cutaneotrichosporon	Trichosporonales	lipids	0.719608312
Cutaneotrichosporon_cyanovorans_JCM_31833	Environmental	Cutaneotrichosporon	Trichosporonales	lipids	0.519960875
Cutaneotrichosporon_daszewskae_JCM_11166	Clinical	Cutaneotrichosporon	Trichosporonales	lipids	0.630648828
Cutaneotrichosporon_dermatis_ATCC_204094	Clinical	Cutaneotrichosporon	Trichosporonales	lipids	0.780249818
Cutaneotrichosporon_dermatis_JCM_11170	Clinical	Cutaneotrichosporon	Trichosporonales	lipids	0.792285767
Cutaneotrichosporon_oleaginosum_ATCC_20509_reseq	Environmental	Cutaneotrichosporon	Trichosporonales	lipids	0.609405879
Cutaneotrichosporon_oleaginosus_ATCC_20508	Environmental	Cutaneotrichosporon	Trichosporonales	lipids	0.614164873
Cutaneotrichosporon_oleaginosus_IBC0246	Environmental	Cutaneotrichosporon	Trichosporonales	lipids	0.609769179
Trichosporon_asahii_ATCC_201110	Clinical	Trichosporon	Trichosporonales	lipids	0.808557981
Trichosporon_asahii_CBS_8904	Clinical	Trichosporon	Trichosporonales	lipids	0.77667308
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	Clinical	Trichosporon	Trichosporonales	lipids	0.830148156
Trichosporon_asahii_N5_275_008G1	Clinical	Trichosporon	Trichosporonales	lipids	0.769581804
Trichosporon_faecale_JCM_2941	Clinical	Trichosporon	Trichosporonales	lipids	0.765205544
Trichosporon_inkin_JCM_9195_ATCC_18020_reseq	Clinical	Trichosporon	Trichosporonales	lipids	0.751810633
Cryptococcus_amylolentus_CBS_6039	Environmental	Cryptococcus	Tremellales	carbs	0.79449413
Cryptococcus_deneoformans_JEC21	Clinical	Cryptococcus	Tremellales	carbs	0.855868484
Cryptococcus_floricola_DSM_27421	Environmental	Cryptococcus	Tremellales	carbs	0.813579664
Cryptococcus_gattii_WM276	Clinical	Cryptococcus	Tremellales	carbs	0.883803821
Cutaneotrichosporon_arboriformis_JCM_14201	Clinical	Cutaneotrichosporon	Trichosporonales	carbs	0.670395036
Cutaneotrichosporon_curvatus_JCM_1532	Clinical	Cutaneotrichosporon	Trichosporonales	carbs	0.653799877
Cutaneotrichosporon_cutaneum_JCM_1462	Clinical	Cutaneotrichosporon	Trichosporonales	carbs	0.718816876
Cutaneotrichosporon_cyanovorans_JCM_31833	Environmental	Cutaneotrichosporon	Trichosporonales	carbs	0.586184545
Cutaneotrichosporon_daszewskae_JCM_11166	Clinical	Cutaneotrichosporon	Trichosporonales	carbs	0.684382201
Cutaneotrichosporon_dermatis_ATCC_204094	Clinical	Cutaneotrichosporon	Trichosporonales	carbs	0.763020497
Cutaneotrichosporon_dermatis_JCM_11170	Clinical	Cutaneotrichosporon	Trichosporonales	carbs	0.758439855
Cutaneotrichosporon_oleaginosum_ATCC_20509_reseq	Environmental	Cutaneotrichosporon	Trichosporonales	carbs	0.756018751
Cutaneotrichosporon_oleaginosus_ATCC_20508	Environmental	Cutaneotrichosporon	Trichosporonales	carbs	0.758207817
Cutaneotrichosporon_oleaginosus_IBC0246	Environmental	Cutaneotrichosporon	Trichosporonales	carbs	0.755372493
Trichosporon_asahii_ATCC_201110	Clinical	Trichosporon	Trichosporonales	carbs	0.812286551
Trichosporon_asahii_CBS_8904	Clinical	Trichosporon	Trichosporonales	carbs	0.796799058
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	Clinical	Trichosporon	Trichosporonales	carbs	0.804589623
Trichosporon_asahii_N5_275_008G1	Clinical	Trichosporon	Trichosporonales	carbs	0.795463909
Trichosporon_faecale_JCM_2941	Clinical	Trichosporon	Trichosporonales	carbs	0.746536138
Trichosporon_inkin_JCM_9195_ATCC_18020_reseq	Clinical	Trichosporon	Trichosporonales	carbs	0.725428913
Cryptococcus_amylolentus_CBS_6039	Environmental	Cryptococcus	Tremellales	S_genome	0.704154377
Cryptococcus_deneoformans_JEC21	Clinical	Cryptococcus	Tremellales	S_genome	0.829162293
Cryptococcus_floricola_DSM_27421	Environmental	Cryptococcus	Tremellales	S_genome	0.710832167
Cryptococcus_gattii_WM276	Clinical	Cryptococcus	Tremellales	S_genome	0.82914778
Cutaneotrichosporon_arboriformis_JCM_14201	Clinical	Cutaneotrichosporon	Trichosporonales	S_genome	0.514446949
Cutaneotrichosporon_curvatus_JCM_1532	Clinical	Cutaneotrichosporon	Trichosporonales	S_genome	0.608954275
Cutaneotrichosporon_cutaneum_JCM_1462	Clinical	Cutaneotrichosporon	Trichosporonales	S_genome	0.548197299
Cutaneotrichosporon_cyanovorans_JCM_31833	Environmental	Cutaneotrichosporon	Trichosporonales	S_genome	0.49920402
Cutaneotrichosporon_daszewskae_JCM_11166	Clinical	Cutaneotrichosporon	Trichosporonales	S_genome	0.575581052
Cutaneotrichosporon_dermatis_ATCC_204094	Clinical	Cutaneotrichosporon	Trichosporonales	S_genome	0.654911221
