species	Function	S	S_genome	narr_og_cat	Process	Genus	Order	Lifestyle	S_norm
Cryptococcus_amylolentus_CBS_6039	Amino acid transport and metabolism	0.806364509	0.704154377	E	METABOLISM	Cryptococcus	Tremellales	Environmental	1.145153018
Cryptococcus_amylolentus_CBS_6039	Defense mechanisms	0.617541331	0.704154377	V	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.876997079
Cryptococcus_amylolentus_CBS_6039	Energy production and conversion	0.8138836	0.704154377	C	METABOLISM	Cryptococcus	Tremellales	Environmental	1.155831203
Cryptococcus_amylolentus_CBS_6039	Chromatin structure and dynamics	0.86573417	0.704154377	B	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	1.229466434
Cryptococcus_amylolentus_CBS_6039	Lipid transport and metabolism	0.710717515	0.704154377	I	METABOLISM	Cryptococcus	Tremellales	Environmental	1.009320596
Cryptococcus_amylolentus_CBS_6039	Extracellular structures	-0.173845727	0.704154377	W	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	-0.246885815
Cryptococcus_amylolentus_CBS_6039	Cell cycle control, cell division, chromosome partitioning	0.647453781	0.704154377	D	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.919477038
Cryptococcus_amylolentus_CBS_6039	Signal transduction mechanisms	0.72623434	0.704154377	T	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.031356709
Cryptococcus_amylolentus_CBS_6039	Post-translational modification, protein turnover, and chaperones	0.744811288	0.704154377	O	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.057738633
Cryptococcus_amylolentus_CBS_6039	Inorganic ion transport and metabolism	0.809890057	0.704154377	P	METABOLISM	Cryptococcus	Tremellales	Environmental	1.1501598
Cryptococcus_amylolentus_CBS_6039	Translation, ribosomal structure and biogenesis	0.826700849	0.704154377	J	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	1.17403353
Cryptococcus_amylolentus_CBS_6039	Nucleotide transport and metabolism	0.800568616	0.704154377	F	METABOLISM	Cryptococcus	Tremellales	Environmental	1.13692202
Cryptococcus_amylolentus_CBS_6039	Cytoskeleton	0.63587419	0.704154377	Z	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.903032362
Cryptococcus_amylolentus_CBS_6039	Intracellular trafficking, secretion, and vesicular transport	0.671162628	0.704154377	U	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.953146995
Cryptococcus_amylolentus_CBS_6039	RNA processing and modification	0.711493731	0.704154377	A	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	1.010422934
Cryptococcus_amylolentus_CBS_6039	Cell motility	0.236503528	0.704154377	N	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.335868861
Cryptococcus_amylolentus_CBS_6039	Carbohydrate transport and metabolism	0.79449413	0.704154377	G	METABOLISM	Cryptococcus	Tremellales	Environmental	1.12829538
Cryptococcus_amylolentus_CBS_6039	Coenzyme transport and metabolism	0.743343891	0.704154377	H	METABOLISM	Cryptococcus	Tremellales	Environmental	1.055654719
Cryptococcus_amylolentus_CBS_6039	Transcription	0.539439798	0.704154377	K	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	0.766081723
Cryptococcus_amylolentus_CBS_6039	Secondary metabolites biosynthesis, transport, and catabolism	0.805510272	0.704154377	Q	METABOLISM	Cryptococcus	Tremellales	Environmental	1.143939879
Cryptococcus_amylolentus_CBS_6039	Replication, recombination and repair	0.602806481	0.704154377	L	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	0.856071482
Cryptococcus_amylolentus_CBS_6039	Nuclear structure	0.855050229	0.704154377	Y	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.214293708
Cryptococcus_amylolentus_CBS_6039	Cell wall, membrane, envelope biogenesis	0.767338147	0.704154377	M	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.089729997
Cryptococcus_deneoformans_JEC21	Post-translational modification, protein turnover, and chaperones	0.857168451	0.829162293	O	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	1.033776449
Cryptococcus_deneoformans_JEC21	Replication, recombination and repair	0.654636007	0.829162293	L	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	0.789514926
Cryptococcus_deneoformans_JEC21	Intracellular trafficking, secretion, and vesicular transport	0.824312733	0.829162293	U	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.994151253
Cryptococcus_deneoformans_JEC21	Cytoskeleton	0.752711741	0.829162293	Z	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.907797843
Cryptococcus_deneoformans_JEC21	Energy production and conversion	0.81872192	0.829162293	C	METABOLISM	Cryptococcus	Tremellales	Clinical	0.987408528
Cryptococcus_deneoformans_JEC21	Transcription	0.784172641	0.829162293	K	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	0.945740837
Cryptococcus_deneoformans_JEC21	Cell wall, membrane, envelope biogenesis	0.877720574	0.829162293	M	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	1.05856306
Cryptococcus_deneoformans_JEC21	Nuclear structure	0.953197511	0.829162293	Y	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	1.149591001
Cryptococcus_deneoformans_JEC21	Coenzyme transport and metabolism	0.865673239	0.829162293	H	METABOLISM	Cryptococcus	Tremellales	Clinical	1.044033534
Cryptococcus_deneoformans_JEC21	RNA processing and modification	0.818933553	0.829162293	A	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	0.987663765
Cryptococcus_deneoformans_JEC21	Inorganic ion transport and metabolism	0.854682567	0.829162293	P	METABOLISM	Cryptococcus	Tremellales	Clinical	1.030778382
Cryptococcus_deneoformans_JEC21	Lipid transport and metabolism	0.818736673	0.829162293	I	METABOLISM	Cryptococcus	Tremellales	Clinical	0.987426322
Cryptococcus_deneoformans_JEC21	Chromatin structure and dynamics	0.927239705	0.829162293	B	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	1.118284939
Cryptococcus_deneoformans_JEC21	Secondary metabolites biosynthesis, transport, and catabolism	0.852363711	0.829162293	Q	METABOLISM	Cryptococcus	Tremellales	Clinical	1.027981756
Cryptococcus_deneoformans_JEC21	Amino acid transport and metabolism	0.914727949	0.829162293	E	METABOLISM	Cryptococcus	Tremellales	Clinical	1.103195305
Cryptococcus_deneoformans_JEC21	Cell motility	0.51902111	0.829162293	N	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.625958409
Cryptococcus_deneoformans_JEC21	Cell cycle control, cell division, chromosome partitioning	0.76865307	0.829162293	D	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.927023667
Cryptococcus_deneoformans_JEC21	Translation, ribosomal structure and biogenesis	0.913687078	0.829162293	J	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Clinical	1.101939976
Cryptococcus_deneoformans_JEC21	Nucleotide transport and metabolism	0.886028339	0.829162293	F	METABOLISM	Cryptococcus	Tremellales	Clinical	1.068582527
Cryptococcus_deneoformans_JEC21	Carbohydrate transport and metabolism	0.855868484	0.829162293	G	METABOLISM	Cryptococcus	Tremellales	Clinical	1.032208641
Cryptococcus_deneoformans_JEC21	Signal transduction mechanisms	0.82084958	0.829162293	T	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.989974564
Cryptococcus_deneoformans_JEC21	Extracellular structures	-0.54166902	0.829162293	W	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	-0.653272615
Cryptococcus_deneoformans_JEC21	Defense mechanisms	0.821334031	0.829162293	V	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Clinical	0.99055883
Cryptococcus_floricola_DSM_27421	Amino acid transport and metabolism	0.824002921	0.710832167	E	METABOLISM	Cryptococcus	Tremellales	Environmental	1.159208824
Cryptococcus_floricola_DSM_27421	Chromatin structure and dynamics	0.852583427	0.710832167	B	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	1.199415933
Cryptococcus_floricola_DSM_27421	Energy production and conversion	0.771972896	0.710832167	C	METABOLISM	Cryptococcus	Tremellales	Environmental	1.08601289
Cryptococcus_floricola_DSM_27421	Nuclear structure	0.894918029	0.710832167	Y	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.25897233
Cryptococcus_floricola_DSM_27421	Cell motility	0.695884214	0.710832167	N	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.978971192
Cryptococcus_floricola_DSM_27421	Translation, ribosomal structure and biogenesis	0.843832377	0.710832167	J	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	1.18710494
Cryptococcus_floricola_DSM_27421	Carbohydrate transport and metabolism	0.813579664	0.710832167	G	METABOLISM	Cryptococcus	Tremellales	Environmental	1.144545367
Cryptococcus_floricola_DSM_27421	Cell cycle control, cell division, chromosome partitioning	0.59972806	0.710832167	D	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.843698538
Cryptococcus_floricola_DSM_27421	Lipid transport and metabolism	0.707171694	0.710832167	I	METABOLISM	Cryptococcus	Tremellales	Environmental	0.99485044
Cryptococcus_floricola_DSM_27421	Defense mechanisms	0.725606484	0.710832167	V	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.020784536
Cryptococcus_floricola_DSM_27421	Inorganic ion transport and metabolism	0.791809646	0.710832167	P	METABOLISM	Cryptococcus	Tremellales	Environmental	1.113919266
Cryptococcus_floricola_DSM_27421	Extracellular structures	-0.00718523	0.710832167	W	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	-0.010108194
Cryptococcus_floricola_DSM_27421	Cytoskeleton	0.639206978	0.710832167	Z	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	0.899237552
Cryptococcus_floricola_DSM_27421	RNA processing and modification	0.770193636	0.710832167	A	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	1.083509823
Cryptococcus_floricola_DSM_27421	Replication, recombination and repair	0.602395321	0.710832167	L	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	0.847450845
Cryptococcus_floricola_DSM_27421	Transcription	0.475269134	0.710832167	K	INFORMATION STORAGE AND PROCESSING	Cryptococcus	Tremellales	Environmental	0.668609492
Cryptococcus_floricola_DSM_27421	Secondary metabolites biosynthesis, transport, and catabolism	0.822157348	0.710832167	Q	METABOLISM	Cryptococcus	Tremellales	Environmental	1.156612469
Cryptococcus_floricola_DSM_27421	Nucleotide transport and metabolism	0.838127507	0.710832167	F	METABOLISM	Cryptococcus	Tremellales	Environmental	1.179079319
Cryptococcus_floricola_DSM_27421	Coenzyme transport and metabolism	0.77128757	0.710832167	H	METABOLISM	Cryptococcus	Tremellales	Environmental	1.085048771
Cryptococcus_floricola_DSM_27421	Signal transduction mechanisms	0.71457399	0.710832167	T	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.005264003
Cryptococcus_floricola_DSM_27421	Intracellular trafficking, secretion, and vesicular transport	0.726936851	0.710832167	U	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.022656099
Cryptococcus_floricola_DSM_27421	Cell wall, membrane, envelope biogenesis	0.790990348	0.710832167	M	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.112766677
Cryptococcus_floricola_DSM_27421	Post-translational modification, protein turnover, and chaperones	0.778971334	0.710832167	O	CELLULAR PROCESSES AND SIGNALING	Cryptococcus	Tremellales	Environmental	1.095858306
