sample	Minutes	Temperature	Lifestyle	Identification	OD_avg	Genus
TS-001	0	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00512499999999999	Apiotrichum
TS-001	0	37 °C	Environmental	Apiotrichum akiyoshidainum	0.00425	Apiotrichum
TS-001	30	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00612499999999999	Apiotrichum
TS-001	30	37 °C	Environmental	Apiotrichum akiyoshidainum	0.003	Apiotrichum
TS-001	60	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00712499999999999	Apiotrichum
TS-001	60	37 °C	Environmental	Apiotrichum akiyoshidainum	0.00262500000000002	Apiotrichum
TS-001	90	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00712499999999999	Apiotrichum
TS-001	90	37 °C	Environmental	Apiotrichum akiyoshidainum	0.00262499999999999	Apiotrichum
TS-001	120	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00675000000000001	Apiotrichum
TS-001	120	37 °C	Environmental	Apiotrichum akiyoshidainum	0.00275	Apiotrichum
TS-001	150	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00637499999999999	Apiotrichum
TS-001	150	37 °C	Environmental	Apiotrichum akiyoshidainum	0.00237500000000002	Apiotrichum
TS-001	180	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00600000000000001	Apiotrichum
TS-001	180	37 °C	Environmental	Apiotrichum akiyoshidainum	0.00175	Apiotrichum
TS-001	210	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00625000000000001	Apiotrichum
TS-001	210	37 °C	Environmental	Apiotrichum akiyoshidainum	0.00137499999999999	Apiotrichum
TS-001	240	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00587499999999999	Apiotrichum
TS-001	240	37 °C	Environmental	Apiotrichum akiyoshidainum	0.001	Apiotrichum
TS-001	270	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00612499999999999	Apiotrichum
TS-001	270	37 °C	Environmental	Apiotrichum akiyoshidainum	0.001	Apiotrichum
TS-001	300	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00600000000000001	Apiotrichum
TS-001	300	37 °C	Environmental	Apiotrichum akiyoshidainum	0.001	Apiotrichum
TS-001	330	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00600000000000001	Apiotrichum
TS-001	330	37 °C	Environmental	Apiotrichum akiyoshidainum	0.000625000000000014	Apiotrichum
TS-001	360	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0055	Apiotrichum
