strain	Identification	S_pathway	S	medium	max_gr	max_gr_err	lag_time	lag_time_err
TS-001	Apiotrichum akiyoshidainum	S_carbs	0.818303147119399	PD	0.243263100266669	0.0111075230656803	9.96081149490002	0.504456975749443
TS-007	Apiotrichum porosum	S_carbs	0.805592434321292	PD	0.706189713856017	0.0209170090741722	14.199950135137	0.20875687888576
TS-008	Apiotrichum porosum	S_carbs	0.805592434321292	PD	0.641705057816558	0.0223118666890166	15.4657175612639	0.216452192313849
TS-009	Apiotrichum porosum	S_carbs	0.805592434321292	PD	0.533709485598964	0.0164448618435207	14.5908790086329	0.24073028174151
TS-010	Cutaneotrichosporon cutaneum	S_carbs	0.718816875516353	PD	0.207753057445127	0.00659211888494259	21.3913957866258	0.648186175275109
TS-012	Cutaneotrichosporon dermatis	S_carbs	0.758439855449377	PD	0.993794582837415	0.0474504470627702	18.9310475302977	0.116404333240439
TS-015	Vanrija humicola	S_lipids	0.757374835736474	YNBoleic	0.321838730951443	0.00434408843359882	15.2995732854955	0.159165206756187
TS-020	Vanrija humicola	S_lipids	0.760079818891763	YNBoleic	0.220728936302041	0.00913923051822134	14.0553079560014	0.334854266137885
TS-027	Apiotrichum porosum	S_carbs	0.805592434321292	PD	0.422575794294415	0.0183709278267243	18.6922945086656	0.477737893552188
TS-038	Apiotrichum porosum	S_carbs	0.819216657104562	PD	0.305308326371012	0.0093740203876862	14.4602658415304	0.27819859856254
TS-038	Apiotrichum porosum	S_lipids	0.820288429008298	YNBoleic	0.238865152634819	0.0088537516200296	12.9030459860723	0.436794121364575
TS-039	Cutaneotrichosporon curvatus	S_carbs	0.65379987720478	PD	0.447162135595871	0.0333744098456198	31.4389065162501	0.308094318065919
TS-042	Cutaneotrichosporon dermatis	S_carbs	0.758439855449377	PD	0.679341955929483	0.0420308342496939	15.595606563917	0.405379689690927
TS-043	Cutaneotrichosporon dermatis	S_carbs	0.758439855449377	PD	0.475686070655476	0.0201512729726675	18.6922752631236	0.268944497433514
TS-046	Cutaneotrichosporon oleaginosus	S_carbs	0.756018751075933	PD	0.304122468097737	0.0127188038214358	24.941669393285	0.387637331754403
TS-046	Cutaneotrichosporon oleaginosus	S_lipids	0.609405878663373	YNBoleic	0.216596016684167	0.00456239934861634	15.3505778635042	0.246192471373798
TS-057	Apiotrichum mycotoxinovorans	S_carbs	0.728430681365218	PD	0.532614871193305	0.0164323296672048	15.9672236881649	0.164431898721985
TS-075	Apiotrichum gamsii	S_lipids	0.606564437658836	YNBoleic	0.131460287631533	0.00266406590422875	16.7769359907739	0.534415119973097
TS-076	Apiotrichum laibachii	S_carbs	0.82739806613641	PD	0.151163970743044	0.00604009015587427	14.0656794538164	0.55460144813452
TS-076	Apiotrichum laibachii	S_lipids	0.851248143066899	YNBoleic	0.170987263125147	0.00576674307627191	4.8973865179377	0.506461093551966
TS-095	Cutaneotrichosporon cyanovorans	S_lipids	0.519960875281665	YNBoleic	0.32913572494903	0.00641966333173344	19.0289759182553	0.227020962350466
TS-108	Trichosporon asahii	S_carbs	0.804589622765017	PD	0.226906627334116	0.00570984171764287	17.8676672017546	0.470921399122652
TS-108	Trichosporon asahii	S_lipids	0.830148156250306	YNBoleic	0.10479992638351	0.00265203435124767	12.254918295138	0.578228711237427
TS-132	Trichosporon faecale	S_carbs	0.746536138169238	PD	0.223914737110109	0.00874146989414151	19.596739407922	0.437246990730314
TS-139	Trichosporon inkin	S_carbs	0.725428913357031	PD	0.155060244565935	0.00425766267541627	22.3330388578997	0.471883073189112
TS-139	Trichosporon inkin	S_lipids	0.751810633221556	YNBoleic	0.111671267472899	0.00350688178545683	9.48015963357692	0.698253099363418
