id	Name	Genus	Species	Strain	Genus_species	Order	Substrate	Lifestyle	One_strain_per_species
Apiotrichum_akiyoshidainum_HP2023	Apiotrichum akiyoshidainum HP2023	Apiotrichum	akiyoshidainum	HP2023 	Apiotrichum akiyoshidainum	Trichosporonales	Soil	Saprotrophic	Yes
Apiotrichum_brassicae_JCM_1599	Apiotrichum brassicae JCM 1599	Apiotrichum	brassicae	JCM 1599	Apiotrichum brassicae	Trichosporonales	Plant	Saprotrophic	Yes
Apiotrichum_domesticum_JCM_9580	Apiotrichum domesticum JCM 9580	Apiotrichum	domesticum	JCM 9580	Apiotrichum domesticum	Trichosporonales	Plant	Saprotrophic	Yes
Apiotrichum_gamsii_JCM_9941	Apiotrichum gamsii JCM 9941	Apiotrichum	gamsii	JCM 9941	Apiotrichum gamsii	Trichosporonales	Soil	Saprotrophic	Yes
Apiotrichum_gracile_JCM_10018	Apiotrichum gracile JCM 10018	Apiotrichum	gracile	JCM 10018	Apiotrichum gracile	Trichosporonales	Dairy	Saprotrophic	Yes
Apiotrichum_laibachii_JCM_2947	Apiotrichum laibachii JCM 2947	Apiotrichum	laibachii	JCM 2947	Apiotrichum laibachii	Trichosporonales	Soil	Saprotrophic	Yes
Apiotrichum_montevideense_JCM_9937	Apiotrichum montevideense JCM 9937	Apiotrichum	montevideense	JCM 9937	Apiotrichum montevideense	Trichosporonales	Water	Saprotrophic	Yes
Apiotrichum_mycotoxinivorans_GMU1709	Apiotrichum mycotoxinovorans GMU1709	Apiotrichum	mycotoxinovorans	GMU1709 	Apiotrichum mycotoxinovorans	Trichosporonales	Human	Opportunistic pathogen	Yes
Apiotrichum_mycotoxinovorans_ACCC_20271	Apiotrichum mycotoxinovorans ACCC 20271	Apiotrichum	mycotoxinovorans	ACCC 20271	Apiotrichum mycotoxinovorans	Trichosporonales	Human	Opportunistic pathogen	No
Apiotrichum_mycotoxinovorans_CICC_1454	Apiotrichum mycotoxinovorans CICC 1454	Apiotrichum	mycotoxinovorans	CICC 1454	Apiotrichum mycotoxinovorans	Trichosporonales	Human	Opportunistic pathogen	No
Apiotrichum_porosum_DSM_27194	Apiotrichum porosum DSM 27194	Apiotrichum	porosum	DSM 27194	Apiotrichum porosum	Trichosporonales	Plant	Saprotrophic	Yes
Apiotrichum_porosum_JCM_1458	Apiotrichum porosum JCM 1458	Apiotrichum	porosum	JCM 1458	Apiotrichum porosum	Trichosporonales	Soil	Saprotrophic	No
Apiotrichum_siamense_L8in5	Apiotrichum siamense L8in5	Apiotrichum	siamense	L8in5	Apiotrichum siamense	Trichosporonales	Insect	Saprotrophic	Yes
Apiotrichum_veenhuisii_JCM_10691	Apiotrichum veenhuisii JCM 10691	Apiotrichum	veenhuisii	JCM 10691	Apiotrichum veenhuisii	Trichosporonales	Human	Opportunistic pathogen	Yes
