sample	Temp	TimePoint	Day	Medium	Identification	OD	OD_min	OD_max	Genus	Lifestyle
TS-001	18 °C	T0	0	PD	Apiotrichum akiyoshidainum	0.006	0.0035	0.0085	Apiotrichum	Environmental
TS-001	18 °C	T1	1	PD	Apiotrichum akiyoshidainum	0.000375	-0.000875	0.001125	Apiotrichum	Environmental
TS-001	18 °C	T2	2	PD	Apiotrichum akiyoshidainum	0.1238125	0.0870625	0.1860625	Apiotrichum	Environmental
TS-001	18 °C	T3	3	PD	Apiotrichum akiyoshidainum	0.458125	0.219875	0.752875	Apiotrichum	Environmental
TS-001	18 °C	T4	4	PD	Apiotrichum akiyoshidainum	0.606875	0.309375	0.915375	Apiotrichum	Environmental
TS-001	18 °C	T5	5	PD	Apiotrichum akiyoshidainum	0.7406875	0.4734375	0.9894375	Apiotrichum	Environmental
TS-001	18 °C	T6	6	PD	Apiotrichum akiyoshidainum	0.895875	0.670125	1.135125	Apiotrichum	Environmental
TS-001	18 °C	T7	7	PD	Apiotrichum akiyoshidainum	0.98075	0.81	1.163	Apiotrichum	Environmental
TS-001	23 °C	T0	0	PD	Apiotrichum akiyoshidainum	0.0030625	-0.0019375	0.0070625	Apiotrichum	Environmental
TS-001	23 °C	T1	1	PD	Apiotrichum akiyoshidainum	0.041625	0.030625	0.055625	Apiotrichum	Environmental
TS-001	23 °C	T2	2	PD	Apiotrichum akiyoshidainum	0.4074375	0.3434375	0.4804375	Apiotrichum	Environmental
TS-001	23 °C	T3	3	PD	Apiotrichum akiyoshidainum	0.7711875	0.7221875	0.7931875	Apiotrichum	Environmental
TS-001	23 °C	T4	4	PD	Apiotrichum akiyoshidainum	0.9459375	0.8494375	1.1094375	Apiotrichum	Environmental
TS-001	23 °C	T5	5	PD	Apiotrichum akiyoshidainum	1.1603125	0.9308125	1.3308125	Apiotrichum	Environmental
TS-001	23 °C	T6	6	PD	Apiotrichum akiyoshidainum	1.0228125	0.9190625	1.1540625	Apiotrichum	Environmental
TS-001	23 °C	T7	7	PD	Apiotrichum akiyoshidainum	1.0853125	0.9975625	1.2315625	Apiotrichum	Environmental
TS-001	28 °C	T0	0	PD	Apiotrichum akiyoshidainum	0	-0.0048125	0.0051875	Apiotrichum	Environmental
TS-001	28 °C	T1	1	PD	Apiotrichum akiyoshidainum	0.062375	0.047875	0.096875	Apiotrichum	Environmental
TS-001	28 °C	T2	2	PD	Apiotrichum akiyoshidainum	0.698875	0.648375	0.731375	Apiotrichum	Environmental
TS-001	28 °C	T3	3	PD	Apiotrichum akiyoshidainum	0.9348125	0.9058125	0.9868125	Apiotrichum	Environmental
TS-001	28 °C	T4	4	PD	Apiotrichum akiyoshidainum	1.0208125	0.9610625	1.0580625	Apiotrichum	Environmental
TS-001	28 °C	T5	5	PD	Apiotrichum akiyoshidainum	1.151375	1.060375	1.304375	Apiotrichum	Environmental
TS-001	28 °C	T6	6	PD	Apiotrichum akiyoshidainum	1.3155	1.2545	1.3665	Apiotrichum	Environmental
TS-001	28 °C	T7	7	PD	Apiotrichum akiyoshidainum	1.3410625	1.2923125	1.3923125	Apiotrichum	Environmental
TS-001	33 °C	T0	0	PD	Apiotrichum akiyoshidainum	0.0039375	-0.0015625	0.0094375	Apiotrichum	Environmental
TS-001	33 °C	T1	1	PD	Apiotrichum akiyoshidainum	0.0054375	0.0001875	0.0101875	Apiotrichum	Environmental
TS-001	33 °C	T2	2	PD	Apiotrichum akiyoshidainum	0	-0.0064375	0.0015625	Apiotrichum	Environmental
TS-001	33 °C	T3	3	PD	Apiotrichum akiyoshidainum	0	-0.02925	-0.00625	Apiotrichum	Environmental
TS-001	33 °C	T4	4	PD	Apiotrichum akiyoshidainum	0	-0.01975	0.00025	Apiotrichum	Environmental
TS-001	33 °C	T5	5	PD	Apiotrichum akiyoshidainum	0.00275	-0.00675	0.00925	Apiotrichum	Environmental
TS-001	33 °C	T6	6	PD	Apiotrichum akiyoshidainum	0.0095625	-0.0024375	0.0185625	Apiotrichum	Environmental
TS-001	33 °C	T7	7	PD	Apiotrichum akiyoshidainum	0.0024375	-0.0115625	0.0174375	Apiotrichum	Environmental
TS-001	37 °C	T0	0	PD	Apiotrichum akiyoshidainum	0.0006875	-0.0013125	0.0046875	Apiotrichum	Environmental
TS-001	37 °C	T1	1	PD	Apiotrichum akiyoshidainum	0.0095625	-0.0034375	0.0185625	Apiotrichum	Environmental
TS-001	37 °C	T2	2	PD	Apiotrichum akiyoshidainum	0.0196875	0.0029375	0.0319375	Apiotrichum	Environmental
TS-001	37 °C	T3	3	PD	Apiotrichum akiyoshidainum	0.0170625	-0.0044375	0.0255625	Apiotrichum	Environmental
TS-001	37 °C	T4	4	PD	Apiotrichum akiyoshidainum	0.0116875	-6.25E-05	0.0179375	Apiotrichum	Environmental
TS-001	37 °C	T5	5	PD	Apiotrichum akiyoshidainum	0.0130625	-0.0036875	0.0213125	Apiotrichum	Environmental
TS-001	37 °C	T6	6	PD	Apiotrichum akiyoshidainum	0.0235625	-0.0066875	0.0543125	Apiotrichum	Environmental
TS-001	37 °C	T7	7	PD	Apiotrichum akiyoshidainum	0.030375	0.003875	0.060875	Apiotrichum	Environmental
TS-007	18 °C	T0	0	PD	Apiotrichum porosum	0.00125	-0.0015	0.0025	Apiotrichum	Environmental
TS-007	18 °C	T1	1	PD	Apiotrichum porosum	0	-0.002875	0.003125	Apiotrichum	Environmental
TS-007	18 °C	T2	2	PD	Apiotrichum porosum	0.1163125	0.1070625	0.1270625	Apiotrichum	Environmental
TS-007	18 °C	T3	3	PD	Apiotrichum porosum	0.349875	0.306875	0.385875	Apiotrichum	Environmental
TS-007	18 °C	T4	4	PD	Apiotrichum porosum	0.547125	0.433375	0.671375	Apiotrichum	Environmental
TS-007	18 °C	T5	5	PD	Apiotrichum porosum	0.7101875	0.5984375	0.8524375	Apiotrichum	Environmental
TS-007	18 °C	T6	6	PD	Apiotrichum porosum	0.833125	0.753125	0.955125	Apiotrichum	Environmental
TS-007	18 °C	T7	7	PD	Apiotrichum porosum	0.92925	0.861	1.047	Apiotrichum	Environmental
TS-007	23 °C	T0	0	PD	Apiotrichum porosum	0.0038125	-0.0009375	0.0090625	Apiotrichum	Environmental
TS-007	23 °C	T1	1	PD	Apiotrichum porosum	0.024375	0.014625	0.030625	Apiotrichum	Environmental
TS-007	23 °C	T2	2	PD	Apiotrichum porosum	0.2396875	0.1844375	0.3384375	Apiotrichum	Environmental
TS-007	23 °C	T3	3	PD	Apiotrichum porosum	0.5774375	0.4201875	0.7221875	Apiotrichum	Environmental
TS-007	23 °C	T4	4	PD	Apiotrichum porosum	0.7246875	0.5224375	0.8764375	Apiotrichum	Environmental
