species	unique_anticodons
Apiotrichum_akiyoshidainum_HP2023	45
Apiotrichum_brassicae_JCM_1599	44
Apiotrichum_domesticum_JCM_9580	43
Apiotrichum_gamsii_JCM_9941	45
Apiotrichum_gracile_JCM_10018	44
Apiotrichum_laibachii_JCM_2947	45
Apiotrichum_montevideense_JCM_9937	43
Apiotrichum_mycotoxinivorans_GMU1709	46
Apiotrichum_mycotoxinovorans_ACCC_20271	46
Apiotrichum_mycotoxinovorans_CICC_1454	46
Apiotrichum_porosum_DSM_27194	41
Apiotrichum_porosum_JCM_1458	39
Apiotrichum_siamense_L8in5	43
Apiotrichum_veenhuisii_JCM_10691	45
Cryptococcus_amylolentus_CBS_6039	44
Cryptococcus_deneoformans_JEC21	39
Cryptococcus_floricola_DSM_27421	42
Cryptococcus_gattii_WM276	39
Cutaneotrichosporon_arboriformis_JCM_14201	45
Cutaneotrichosporon_curvatus_JCM_1532	41
Cutaneotrichosporon_cutaneum_JCM_1462	45
Cutaneotrichosporon_cyanovorans_JCM_31833	42
Cutaneotrichosporon_daszewskae_JCM_11166	44
Cutaneotrichosporon_dermatis_JCM_11170	44
Cutaneotrichosporon_dermatis_ATCC_204094	44
Cutaneotrichosporon_oleaginosus_ATCC_20508	45
Cutaneotrichosporon_oleaginosum_ATCC_20509_reseq	45
Cutaneotrichosporon_oleaginosus_IBC0246	45
Haglerozyma_chiarellii_ATCC_MYA-4694	46
Pascua_guehoae_JCM_10690	43
Pascua_guehoae_Phaff_60_59	43
Prillingera_fragicola_JCM_1530	44
Takashimella_koratensis_JCM_12878	39
Takashimella_tepidaria_JCM_11965	41
Trichosporon_asahii_ATCC_201110	43
Trichosporon_asahii_CBS_8904	43
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	43
Trichosporon_asahii_N5_275_008G1	42
Trichosporon_faecale_JCM_2941	44
Trichosporon_inkin_JCM_9195_ATCC_18020_reseq	42
Vanrija_humicola_ATCC_9949	44
Vanrija_humicola_CBS_4282	43
Vanrija_humicola_JCM_1457	43
Vanrija_humicola_UJ1	44
Vanrija_pseudolonga_DUCC4014	44
