id	genome_size	genes	secreted_genes	GC_genome	tRNAs	CAZymes	CAZymes_secreted	masked_repeats	TEcoverage	repeat_content	TE_content	carbo_genes	lipid_genes	Name	Genus	Species	Strain	Genus_species	Order	Substrate	Lifestyle	One_strain_per_species
Apiotrichum_akiyoshidainum_HP2023	30042643	9126	673	0.60759	1229	281	112	5748406	270834	19.13415541	0.90149858	472	302	Apiotrichum akiyoshidainum HP2023	Apiotrichum	akiyoshidainum	HP2023 	Apiotrichum akiyoshidainum	Trichosporonales	Soil	Environmental	Yes
Apiotrichum_brassicae_JCM_1599	23647732	7160	452	0.5662	405	215	88	2997415	151782	12.67527474	0.641845907	332	254	Apiotrichum brassicae JCM 1599	Apiotrichum	brassicae	JCM 1599	Apiotrichum brassicae	Trichosporonales	Plant	Environmental	Yes
Apiotrichum_domesticum_JCM_9580	24510922	7622	554	0.58595	350	218	92	3751305	20158	15.30462624	0.082240888	334	258	Apiotrichum domesticum JCM 9580	Apiotrichum	domesticum	JCM 9580	Apiotrichum domesticum	Trichosporonales	Plant	Environmental	Yes
Apiotrichum_gamsii_JCM_9941	24609388	7645	401	0.61269	422	252	84	5437159	230106	22.09384077	0.935033411	382	253	Apiotrichum gamsii JCM 9941	Apiotrichum	gamsii	JCM 9941	Apiotrichum gamsii	Trichosporonales	Soil	Environmental	Yes
Apiotrichum_gracile_JCM_10018	24114851	7762	564	0.59271	868	235	94	4326937		17.9430385		371	256	Apiotrichum gracile JCM 10018	Apiotrichum	gracile	JCM 10018	Apiotrichum gracile	Trichosporonales	Dairy	Environmental	Yes
Apiotrichum_laibachii_JCM_2947	30616633	9156	711	0.59945	1457	296	111	5548714	277553	18.1232012	0.906543185	466	290	Apiotrichum laibachii JCM 2947	Apiotrichum	laibachii	JCM 2947	Apiotrichum laibachii	Trichosporonales	Soil	Environmental	Yes
Apiotrichum_montevideense_JCM_9937	24872216	7384	500	0.58366	345	217	84	3563959		14.32907707		327	253	Apiotrichum montevideense JCM 9937	Apiotrichum	montevideense	JCM 9937	Apiotrichum montevideense	Trichosporonales	Water	Environmental	Yes
Apiotrichum_mycotoxinivorans_GMU1709	30439799	8058	545	0.57647	797	261	97	5228791	173573	17.17748202	0.5702173	416	282	Apiotrichum mycotoxinovorans GMU1709	Apiotrichum	mycotoxinovorans	GMU1709 	Apiotrichum mycotoxinovorans	Trichosporonales	Human	Clinical	Yes
Apiotrichum_mycotoxinovorans_ACCC_20271	30717177	8032	551	0.57643	809	259	95	5319848	90815	17.31880505	0.295648913	399	276	Apiotrichum mycotoxinovorans ACCC 20271	Apiotrichum	mycotoxinovorans	ACCC 20271	Apiotrichum mycotoxinovorans	Trichosporonales	Human	Clinical	No
Apiotrichum_mycotoxinovorans_CICC_1454	30749651	8137	553	0.57572	827	265	97	5326222	213023	17.32124374	0.692765586	411	281	Apiotrichum mycotoxinovorans CICC 1454	Apiotrichum	mycotoxinovorans	CICC 1454	Apiotrichum mycotoxinovorans	Trichosporonales	Human	Clinical	No
