species	S_OG_lipids	S_OG_lipids.pvalue	S_OG_carbs	S_OG_carbs.pvalue	ratio	Genus
Cryptococcus_amylolentus_CBS_6039	0.86132811623286	7.24080509098675e-23	0.864990280215918	7.33639149486766e-24	0.995766236838935	Cryptococcus
Cryptococcus_deneoformans_JEC21	0.872669267695521	4.123752733081e-24	0.921788574260903	3.53447957150548e-32	0.946713044686233	Cryptococcus
Cryptococcus_floricola_DSM_27421	0.888342435729867	4.83627973552283e-26	0.880588873480848	1.04465846154787e-25	1.0088049741287	Cryptococcus
Cryptococcus_gattii_WM276	0.917805433700073	1.32812570009854e-30	0.936831989489394	1.71474968311689e-35	0.979690535760109	Cryptococcus
Cutaneotrichosporon_arboriformis_JCM_14201	0.749870688286651	1.49438282847795e-14	0.699101818169307	2.16355735831727e-12	1.07262013743619	Cutaneotrichosporon
Cutaneotrichosporon_curvatus_JCM_1532	0.792430198419399	4.0852989411982e-17	0.78289055493468	6.56663621411002e-17	1.0121851559258	Cutaneotrichosporon
Cutaneotrichosporon_cutaneum_JCM_1462	0.813204524836678	1.35482231021463e-18	0.745863576921569	1.07301981799006e-14	1.09028587800607	Cutaneotrichosporon
Cutaneotrichosporon_cyanovorans_JCM_31833	0.659459508183552	1.66773475677219e-10	0.649564448092989	2.18216507147902e-10	1.01523337694914	Cutaneotrichosporon
Cutaneotrichosporon_daszewskae_JCM_11166	0.713839620758023	9.40921153524886e-13	0.701061525417283	1.7682356155453e-12	1.01822678164108	Cutaneotrichosporon
Cutaneotrichosporon_dermatis_ATCC_204094	0.813539514542637	1.27801304867201e-18	0.798677857269995	5.46462940110133e-18	1.01860782434039	Cutaneotrichosporon
Cutaneotrichosporon_dermatis_JCM_11170	0.815021413156357	9.85811069582104e-19	0.805340173870029	1.78954286431869e-18	1.0120213042891	Cutaneotrichosporon
Cutaneotrichosporon_oleaginosum_ATCC_20509_reseq	0.662298652260361	1.30677070488346e-10	0.778178646608438	1.32538913411953e-16	0.851088185401745	Cutaneotrichosporon
Cutaneotrichosporon_oleaginosus_ATCC_20508	0.669276033548018	7.09539067592919e-11	0.77126208381969	3.60429725726587e-16	0.867767322663415	Cutaneotrichosporon
Cutaneotrichosporon_oleaginosus_IBC0246	0.65263940614746	2.96494481920543e-10	0.775039057247185	2.0963726556152e-16	0.842072925286541	Cutaneotrichosporon
Trichosporon_asahii_ATCC_201110	0.857672782423654	1.72829341477194e-22	0.842036753719314	1.58789380887913e-21	1.01856929479061	Trichosporon
Trichosporon_asahii_CBS_8904	0.792859808646805	3.82254293767092e-17	0.850168841832709	2.61990687650967e-22	0.93259099796887	Trichosporon
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	0.861586860103743	6.80197261337764e-23	0.860500429852806	2.26267790388109e-23	1.00126255631403	Trichosporon
Trichosporon_asahii_N5_275_008G1	0.841185752962283	6.60716370152667e-21	0.823908817241165	6.26211441317266e-20	1.020969475456	Trichosporon
Trichosporon_faecale_JCM_2941	0.785841428540873	1.11093343307064e-16	0.809072514215852	9.39522930266296e-19	0.971286769397309	Trichosporon
